ExperimentName	Subject	Session	SessionTime	Cooccurrences	testWait.RESP	testWait.RT	Picture	sound	TestList.Sample
5_1	27	1	14:40:04	6	0	64	3	3	37
5_1	27	1	14:40:04	2	3	962	18	14	38
5_1	27	1	14:40:04	4	2	513	10	11	39
5_1	27	1	14:40:04	0	0	1473	5	2	40
5_1	27	1	14:40:04	6	2	510	17	17	41
5_1	27	1	14:40:04	2	2	1145	18	4	42
5_1	27	1	14:40:04	6	1	49	6	6	43
5_1	27	1	14:40:04	1	2	792	1	18	44
5_1	27	1	14:40:04	2	4	192	11	8	45
5_1	27	1	14:40:04	1	1	1599	8	16	46
5_1	27	1	14:40:04	6	5	572	7	7	47
5_1	27	1	14:40:04	1	3	432	9	10	48
5_1	27	1	14:40:04	0	1	2125	9	8	49
5_1	27	1	14:40:04	6	2	195	11	11	50
5_1	27	1	14:40:04	2	2	948	3	10	51
5_1	27	1	14:40:04	1	0	661	4	1	52
5_1	27	1	14:40:04	0	2	1097	7	17	53
5_1	27	1	14:40:04	1	0	1299	6	12	54
5_1	27	1	14:40:04	2	0	486	6	3	55
5_1	27	1	14:40:04	0	0	372	11	15	56
5_1	27	1	14:40:04	6	2	1328	16	16	57
5_1	27	1	14:40:04	1	3	757	3	14	58
5_1	27	1	14:40:04	0	0	212	15	5	59
5_1	27	1	14:40:04	0	0	272	3	12	60
5_1	27	1	14:40:04	4	2	849	15	4	61
5_1	27	1	14:40:04	6	2	198	9	9	62
5_1	27	1	14:40:04	2	0	152	5	18	63
5_1	27	1	14:40:04	0	1	226	14	4	64
5_1	27	1	14:40:04	0	2	372	17	13	65
5_1	27	1	14:40:04	6	5	831	10	10	66
5_1	27	1	14:40:04	3	3	544	1	13	67
5_1	27	1	14:40:04	1	0	145	7	1	68
5_1	27	1	14:40:04	3	0	196	14	16	69
5_1	27	1	14:40:04	6	5	580	1	1	70
5_1	27	1	14:40:04	2	2	1080	10	6	71
5_1	27	1	14:40:04	0	3	152	16	3	72
5_1	32	1	15:28:22	0	1	43323	7	17	1
5_1	32	1	15:28:22	4	0	6198	4	12	2
5_1	32	1	15:28:22	2	0	6827	17	9	3
5_1	32	1	15:28:22	2	3	7967	18	4	4
5_1	32	1	15:28:22	2	0	1825	10	6	5
5_1	32	1	15:28:22	1	3	3141	2	14	6
5_1	32	1	15:28:22	6	2	500	13	13	7
5_1	32	1	15:28:22	0	5	1415	14	4	8
5_1	32	1	15:28:22	2	5	786	18	14	9
5_1	32	1	15:28:22	1	2	1748	3	14	10
5_1	32	1	15:28:22	2	1	1409	5	18	11
5_1	32	1	15:28:22	6	5	1767	1	1	12
5_1	32	1	15:28:22	2	3	1433	15	17	13
5_1	32	1	15:28:22	2	4	1357	11	8	14
5_1	32	1	15:28:22	6	2	1412	4	4	15
5_1	32	1	15:28:22	6	2	841	10	10	16
5_1	32	1	15:28:22	1	2	1069	6	12	17
5_1	32	1	15:28:22	0	2	1607	13	7	18
5_1	32	1	15:28:22	6	2	467	18	18	19
5_1	32	1	15:28:22	2	2	2390	3	10	20
5_1	32	1	15:28:22	0	2	3380	1	3	21
5_1	32	1	15:28:22	1	3	3745	9	15	22
5_1	32	1	15:28:22	3	1	3382	6	9	23
5_1	32	1	15:28:22	4	2	467	16	1	24
5_1	32	1	15:28:22	2	3	293	13	2	25
5_1	32	1	15:28:22	1	2	147	8	16	26
5_1	32	1	15:28:22	0	3	1573	3	12	27
5_1	32	1	15:28:22	6	1	554	7	7	28
5_1	32	1	15:28:22	1	0	912	7	1	29
5_1	32	1	15:28:22	3	1	1040	17	6	30
5_1	32	1	15:28:22	0	1	504	18	8	31
5_1	32	1	15:28:22	1	3	34	1	18	32
5_1	32	1	15:28:22	1	2	275	4	11	33
5_1	32	1	15:28:22	6	2	84	16	16	34
5_1	32	1	15:28:22	0	2	546	12	2	35
5_1	32	1	15:28:22	3	3	325	14	16	36
5_1	32	1	15:28:22	0	3	5538	15	5	37
5_1	32	1	15:28:22	6	5	118	14	14	38
5_1	32	1	15:28:22	4	2	311	11	7	39
5_1	32	1	15:28:22	6	1	143	5	5	40
5_1	32	1	15:28:22	1	3	67	9	10	41
5_1	32	1	15:28:22	0	1	70	5	2	42
5_1	32	1	15:28:22	3	2	254	2	18	43
5_1	32	1	15:28:22	6	2	372	15	15	44
5_1	32	1	15:28:22	1	1	97	8	6	45
